,Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Sex,Display Value,Numeric,Low,High,Comments
33,Life expectancy at age 60 (years),Published,2000,Western Pacific,High-income,Cook Islands,Both sexes,18,18.0,,,
34,Life expectancy at birth (years),Published,2000,Europe,High-income,Cyprus,Female,79,79.0,,,
35,Life expectancy at birth (years),Published,2000,Europe,High-income,Cyprus,Both sexes,77,77.0,,,
36,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Cyprus,Female,22,22.0,,,
37,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Cyprus,Female,26,26.0,,,
38,Life expectancy at birth (years),Published,2012,Europe,High-income,Czech Republic,Male,75,75.0,,,
39,Life expectancy at birth (years),Published,1990,Europe,High-income,Czech Republic,Female,75,75.0,,,
40,Life expectancy at birth (years),Published,1990,Europe,High-income,Germany,Female,79,79.0,,,
41,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Germany,Male,18,18.0,,,
42,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Germany,Male,20,20.0,,,
43,Life expectancy at birth (years),Published,2012,Europe,High-income,Denmark,Both sexes,80,80.0,,,
44,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Denmark,Male,18,18.0,,,
45,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Denmark,Male,19,19.0,,,
46,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Denmark,Both sexes,21,21.0,,,
47,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Denmark,Both sexes,23,23.0,,,
48,Life expectancy at birth (years),Published,2012,Europe,High-income,Spain,Both sexes,82,82.0,,,
49,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Spain,Female,25,25.0,,,
50,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Spain,Both sexes,22,22.0,,,
51,Life expectancy at birth (years),Published,1990,Europe,High-income,Estonia,Female,75,75.0,,,
52,Life expectancy at birth (years),Published,2012,Europe,High-income,Estonia,Female,81,81.0,,,
53,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Estonia,Male,18,18.0,,,
54,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Estonia,Female,21,21.0,,,
55,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Estonia,Female,24,24.0,,,
56,Life expectancy at birth (years),Published,1990,Europe,High-income,Finland,Female,79,79.0,,,
57,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Finland,Male,22,22.0,,,
58,Life expectancy at birth (years),Published,2000,Europe,High-income,France,Male,75,75.0,,,
59,Life expectancy at age 60 (years),Published,2000,Europe,High-income,France,Male,20,20.0,,,
60,Life expectancy at birth (years),Published,2012,Europe,High-income,United Kingdom of Great Britain and Northern Ireland,Female,83,83.0,,,
61,Life expectancy at birth (years),Published,2012,Europe,High-income,United Kingdom of Great Britain and Northern Ireland,Both sexes,81,81.0,,,
62,Life expectancy at age 60 (years),Published,1990,Europe,High-income,United Kingdom of Great Britain and Northern Ireland,Male,18,18.0,,,
63,Life expectancy at birth (years),Published,2000,Africa,High-income,Equatorial Guinea,Female,52,52.0,,,
64,Life expectancy at age 60 (years),Published,1990,Africa,High-income,Equatorial Guinea,Female,15,15.0,,,
65,Life expectancy at age 60 (years),Published,2012,Africa,High-income,Equatorial Guinea,Female,17,17.0,,,
66,Life expectancy at birth (years),Published,2012,Europe,High-income,Greece,Male,78,78.0,,,
67,Life expectancy at birth (years),Published,2012,Europe,High-income,Greece,Female,83,83.0,,,
68,Life expectancy at birth (years),Published,2012,Europe,High-income,Croatia,Both sexes,78,78.0,,,
69,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Croatia,Male,16,16.0,,,
70,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Croatia,Both sexes,19,19.0,,,
71,Life expectancy at birth (years),Published,2000,Europe,High-income,Hungary,Male,68,68.0,,,
72,Life expectancy at birth (years),Published,2000,Europe,High-income,Hungary,Both sexes,72,72.0,,,
73,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Hungary,Male,15,15.0,,,
74,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Hungary,Female,22,22.0,,,
75,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Hungary,Both sexes,18,18.0,,,
76,Life expectancy at birth (years),Published,2000,Europe,High-income,Ireland,Both sexes,77,77.0,,,
77,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Ireland,Both sexes,19,19.0,,,
78,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Ireland,Both sexes,20,20.0,,,
79,Life expectancy at birth (years),Published,2012,Europe,High-income,Iceland,Female,84,84.0,,,
80,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Iceland,Female,24,24.0,,,
81,Life expectancy at birth (years),Published,1990,Europe,High-income,Israel,Male,75,75.0,,,
82,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Israel,Male,21,21.0,,,
83,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Israel,Both sexes,24,24.0,,,
84,Life expectancy at birth (years),Published,1990,Europe,High-income,Italy,Male,74,74.0,,,
85,Life expectancy at birth (years),Published,2000,Europe,High-income,Italy,Male,77,77.0,,,
86,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Italy,Male,21,21.0,,,
87,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Italy,Both sexes,25,25.0,,,
88,Life expectancy at age 60 (years),Published,2012,Western Pacific,High-income,Japan,Female,29,29.0,,,
89,Life expectancy at age 60 (years),Published,1990,Western Pacific,High-income,Japan,Both sexes,23,23.0,,,
90,Life expectancy at age 60 (years),Published,2000,Western Pacific,High-income,Japan,Both sexes,25,25.0,,,
91,Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Republic of Korea,Female,76,76.0,,,
92,Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Republic of Korea,Both sexes,72,72.0,,,
93,Life expectancy at age 60 (years),Published,2000,Western Pacific,High-income,Republic of Korea,Female,23,23.0,,,
94,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Kuwait,Male,74,74.0,,,
95,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Kuwait,Female,76,76.0,,,
96,Life expectancy at age 60 (years),Published,1990,Eastern Mediterranean,High-income,Kuwait,Female,18,18.0,,,
97,Life expectancy at birth (years),Published,2000,Europe,High-income,Luxembourg,Male,75,75.0,,,
98,Life expectancy at birth (years),Published,2012,Europe,High-income,Luxembourg,Both sexes,82,82.0,,,
99,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Luxembourg,Male,20,20.0,,,
100,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Luxembourg,Both sexes,25,25.0,,,
101,Life expectancy at birth (years),Published,2000,Europe,High-income,Monaco,Both sexes,80,80.0,,,
102,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Monaco,Both sexes,24,24.0,,,
103,Life expectancy at birth (years),Published,1990,Europe,High-income,Malta,Female,78,78.0,,,
104,Life expectancy at birth (years),Published,2000,Europe,High-income,Malta,Female,80,80.0,,,
105,Life expectancy at birth (years),Published,1990,Europe,High-income,Malta,Both sexes,76,76.0,,,
106,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Malta,Female,23,23.0,,,
107,Life expectancy at birth (years),Published,2000,Europe,High-income,Norway,Male,76,76.0,,,
108,Life expectancy at birth (years),Published,1990,Europe,High-income,Norway,Female,80,80.0,,,
109,Life expectancy at birth (years),Published,2000,Western Pacific,High-income,Nauru,Male,73,73.0,,,
110,Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Nauru,Both sexes,73,73.0,,,
111,Life expectancy at birth (years),Published,2000,Western Pacific,High-income,Nauru,Both sexes,77,77.0,,,
112,Life expectancy at age 60 (years),Published,2012,Western Pacific,High-income,Nauru,Female,27,27.0,,,
113,Life expectancy at birth (years),Published,2000,Western Pacific,High-income,New Zealand,Both sexes,79,79.0,,,
114,Life expectancy at age 60 (years),Published,2000,Western Pacific,High-income,New Zealand,Female,24,24.0,,,
115,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,High-income,Oman,Male,74,74.0,,,
116,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,High-income,Oman,Female,70,70.0,,,
117,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,High-income,Oman,Female,78,78.0,,,
118,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,High-income,Oman,Male,17,17.0,,,
119,Life expectancy at age 60 (years),Published,1990,Eastern Mediterranean,High-income,Oman,Female,18,18.0,,,
120,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,High-income,Oman,Female,22,22.0,,,
121,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Portugal,Male,22,22.0,,,
122,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Portugal,Both sexes,24,24.0,,,
123,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,High-income,Qatar,Male,74,74.0,,,
124,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Qatar,Male,77,77.0,,,
125,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Qatar,Both sexes,77,77.0,,,
126,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,High-income,Qatar,Both sexes,22,22.0,,,
127,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Saudi Arabia,Both sexes,73,73.0,,,
128,Life expectancy at birth (years),Published,2000,Europe,High-income,San Marino,Male,78,78.0,,,
129,Life expectancy at birth (years),Published,2012,Europe,High-income,San Marino,Male,82,82.0,,,
130,Life expectancy at birth (years),Published,2000,Europe,High-income,San Marino,Female,85,85.0,,,
131,Life expectancy at age 60 (years),Published,1990,Europe,High-income,San Marino,Male,20,20.0,,,
132,Life expectancy at age 60 (years),Published,2000,Europe,High-income,San Marino,Male,22,22.0,,,
133,Life expectancy at age 60 (years),Published,1990,Europe,High-income,San Marino,Female,25,25.0,,,
134,Life expectancy at birth (years),Published,1990,Europe,High-income,Slovakia,Male,66,66.0,,,
135,Life expectancy at birth (years),Published,2000,Europe,High-income,Slovakia,Both sexes,73,73.0,,,
136,Life expectancy at birth (years),Published,2012,Europe,High-income,Slovakia,Both sexes,76,76.0,,,
137,Life expectancy at birth (years),Published,1990,Europe,High-income,Slovenia,Male,70,70.0,,,
138,Life expectancy at birth (years),Published,2012,Europe,High-income,Slovenia,Female,83,83.0,,,
139,Life expectancy at birth (years),Published,1990,Europe,High-income,Slovenia,Both sexes,74,74.0,,,
140,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Slovenia,Both sexes,19,19.0,,,
141,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Slovenia,Both sexes,23,23.0,,,
142,Life expectancy at birth (years),Published,1990,Europe,High-income,Sweden,Both sexes,78,78.0,,,
143,Life expectancy at birth (years),Published,2012,Americas,High-income,Trinidad and Tobago,Male,67,67.0,,,
144,Life expectancy at birth (years),Published,1990,Americas,High-income,Trinidad and Tobago,Female,71,71.0,,,
145,Life expectancy at age 60 (years),Published,1990,Americas,High-income,Trinidad and Tobago,Female,18,18.0,,,
146,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Low-income,Afghanistan,Both sexes,55,55.0,,,
147,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Low-income,Afghanistan,Female,16,16.0,,,
148,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Low-income,Afghanistan,Female,17,17.0,,,
149,Life expectancy at birth (years),Published,1990,Africa,Low-income,Burundi,Female,51,51.0,,,
150,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Burundi,Male,15,15.0,,,
151,Life expectancy at birth (years),Published,1990,Africa,Low-income,Benin,Male,51,51.0,,,
152,Life expectancy at birth (years),Published,2000,Africa,Low-income,Benin,Male,53,53.0,,,
153,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Benin,Male,15,15.0,,,
154,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Benin,Both sexes,16,16.0,,,
155,Life expectancy at birth (years),Published,1990,Africa,Low-income,Burkina Faso,Male,48,48.0,,,
156,Life expectancy at birth (years),Published,2000,Africa,Low-income,Burkina Faso,Male,49,49.0,,,
157,Life expectancy at birth (years),Published,2012,Africa,Low-income,Burkina Faso,Both sexes,58,58.0,,,
158,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Burkina Faso,Both sexes,15,15.0,,,
159,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Burkina Faso,Both sexes,15,15.0,,,
160,Life expectancy at birth (years),Published,2000,South-East Asia,Low-income,Bangladesh,Both sexes,65,65.0,,,
161,Life expectancy at birth (years),Published,2012,South-East Asia,Low-income,Bangladesh,Both sexes,70,70.0,,,
162,Life expectancy at age 60 (years),Published,2000,South-East Asia,Low-income,Bangladesh,Female,18,18.0,,,
163,Life expectancy at age 60 (years),Published,2012,South-East Asia,Low-income,Bangladesh,Female,19,19.0,,,
164,Life expectancy at age 60 (years),Published,2000,South-East Asia,Low-income,Bangladesh,Both sexes,18,18.0,,,
165,Life expectancy at birth (years),Published,1990,Africa,Low-income,Central African Republic,Female,50,50.0,,,
166,Life expectancy at birth (years),Published,2012,Africa,Low-income,Central African Republic,Female,52,52.0,,,
167,Life expectancy at birth (years),Published,1990,Africa,Low-income,Central African Republic,Both sexes,48,48.0,,,
168,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Central African Republic,Female,15,15.0,,,
169,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Central African Republic,Female,15,15.0,,,
170,Life expectancy at birth (years),Published,2000,Africa,Low-income,Democratic Republic of the Congo,Female,50,50.0,,,
171,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Democratic Republic of the Congo,Male,14,14.0,,,
172,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Democratic Republic of the Congo,Female,16,16.0,,,
173,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Democratic Republic of the Congo,Both sexes,15,15.0,,,
174,Life expectancy at birth (years),Published,2000,Africa,Low-income,Comoros,Male,57,57.0,,,
175,Life expectancy at birth (years),Published,2012,Africa,Low-income,Comoros,Male,60,60.0,,,
176,Life expectancy at birth (years),Published,2000,Africa,Low-income,Comoros,Both sexes,59,59.0,,,
177,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Comoros,Male,14,14.0,,,
178,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Comoros,Male,15,15.0,,,
179,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Comoros,Both sexes,16,16.0,,,
180,Life expectancy at birth (years),Published,2012,Africa,Low-income,Eritrea,Female,66,66.0,,,
181,Life expectancy at birth (years),Published,1990,Africa,Low-income,Eritrea,Both sexes,48,48.0,,,
182,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Eritrea,Female,17,17.0,,,
183,Life expectancy at birth (years),Published,2012,Africa,Low-income,Ethiopia,Female,65,65.0,,,
184,Life expectancy at birth (years),Published,2000,Africa,Low-income,Ethiopia,Both sexes,51,51.0,,,
185,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Ethiopia,Female,17,17.0,,,
186,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Ethiopia,Both sexes,15,15.0,,,
187,Life expectancy at birth (years),Published,2000,Africa,Low-income,Ghana,Female,59,59.0,,,
188,Life expectancy at birth (years),Published,2012,Africa,Low-income,Ghana,Female,64,64.0,,,
189,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Ghana,Male,17,17.0,,,
190,Life expectancy at birth (years),Published,2012,Africa,Low-income,Guinea,Male,57,57.0,,,
191,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Guinea,Male,15,15.0,,,
192,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Guinea,Male,16,16.0,,,
193,Life expectancy at birth (years),Published,2012,Africa,Low-income,Gambia,Both sexes,61,61.0,,,
194,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Gambia,Female,17,17.0,,,
195,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Gambia,Both sexes,16,16.0,,,
196,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Gambia,Both sexes,17,17.0,,,
197,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Guinea-Bissau,Female,15,15.0,,,
198,Life expectancy at birth (years),Published,2000,Americas,Low-income,Haiti,Female,57,57.0,,,
199,Life expectancy at birth (years),Published,2012,Americas,Low-income,Haiti,Female,64,64.0,,,
200,Life expectancy at age 60 (years),Published,1990,Americas,Low-income,Haiti,Female,16,16.0,,,
201,Life expectancy at age 60 (years),Published,2012,Americas,Low-income,Haiti,Female,18,18.0,,,
202,Life expectancy at birth (years),Published,2012,Africa,Low-income,Kenya,Both sexes,61,61.0,,,
203,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Kenya,Male,16,16.0,,,
204,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Kenya,Female,18,18.0,,,
205,Life expectancy at birth (years),Published,1990,Europe,Low-income,Kyrgyzstan,Male,62,62.0,,,
206,Life expectancy at birth (years),Published,2000,Europe,Low-income,Kyrgyzstan,Male,62,62.0,,,
207,Life expectancy at age 60 (years),Published,1990,Europe,Low-income,Kyrgyzstan,Male,16,16.0,,,
208,Life expectancy at age 60 (years),Published,2000,Europe,Low-income,Kyrgyzstan,Male,15,15.0,,,
209,Life expectancy at age 60 (years),Published,2012,Europe,Low-income,Kyrgyzstan,Both sexes,17,17.0,,,
210,Life expectancy at birth (years),Published,1990,Western Pacific,Low-income,Cambodia,Both sexes,54,54.0,,,
211,Life expectancy at birth (years),Published,2000,Western Pacific,Low-income,Cambodia,Both sexes,61,61.0,,,
212,Life expectancy at birth (years),Published,2012,Western Pacific,Low-income,Cambodia,Both sexes,72,72.0,,,
213,Life expectancy at age 60 (years),Published,1990,Western Pacific,Low-income,Cambodia,Both sexes,17,17.0,,,
214,Life expectancy at age 60 (years),Published,2000,Western Pacific,Low-income,Cambodia,Both sexes,20,20.0,,,
215,Life expectancy at birth (years),Published,2012,Western Pacific,Low-income,Lao People's Democratic Republic,Female,67,67.0,,,
216,Life expectancy at age 60 (years),Published,1990,Western Pacific,Low-income,Lao People's Democratic Republic,Female,16,16.0,,,
217,Life expectancy at age 60 (years),Published,2012,Western Pacific,Low-income,Lao People's Democratic Republic,Female,18,18.0,,,
218,Life expectancy at birth (years),Published,2000,Africa,Low-income,Liberia,Male,50,50.0,,,
219,Life expectancy at birth (years),Published,2000,Africa,Low-income,Liberia,Female,52,52.0,,,
220,Life expectancy at birth (years),Published,1990,Africa,Low-income,Madagascar,Male,50,50.0,,,
221,Life expectancy at birth (years),Published,2000,Africa,Low-income,Madagascar,Male,57,57.0,,,
222,Life expectancy at birth (years),Published,2012,Africa,Low-income,Madagascar,Male,62,62.0,,,
223,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Madagascar,Both sexes,16,16.0,,,
224,Life expectancy at birth (years),Published,2012,Africa,Low-income,Mali,Female,57,57.0,,,
225,Life expectancy at birth (years),Published,1990,Africa,Low-income,Mali,Both sexes,46,46.0,,,
226,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Mali,Both sexes,14,14.0,,,
227,Life expectancy at birth (years),Published,1990,South-East Asia,Low-income,Myanmar,Female,61,61.0,,,
228,Life expectancy at birth (years),Published,2012,South-East Asia,Low-income,Myanmar,Female,68,68.0,,,
229,Life expectancy at age 60 (years),Published,2000,South-East Asia,Low-income,Myanmar,Female,17,17.0,,,
230,Life expectancy at age 60 (years),Published,2012,South-East Asia,Low-income,Myanmar,Female,17,17.0,,,
231,Life expectancy at age 60 (years),Published,1990,South-East Asia,Low-income,Myanmar,Both sexes,16,16.0,,,
232,Life expectancy at birth (years),Published,2012,Africa,Low-income,Mozambique,Male,52,52.0,,,
233,Life expectancy at birth (years),Published,1990,Africa,Low-income,Mozambique,Female,45,45.0,,,
234,Life expectancy at birth (years),Published,2000,Africa,Low-income,Mozambique,Female,49,49.0,,,
235,Life expectancy at birth (years),Published,2012,Africa,Low-income,Mozambique,Female,54,54.0,,,
236,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Mozambique,Male,14,14.0,,,
237,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Mozambique,Male,16,16.0,,,
238,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Mauritania,Male,15,15.0,,,
239,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Mauritania,Male,15,15.0,,,
240,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Mauritania,Both sexes,16,16.0,,,
241,Life expectancy at birth (years),Published,2012,Africa,Low-income,Malawi,Both sexes,59,59.0,,,
242,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Malawi,Male,14,14.0,,,
243,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Malawi,Female,17,17.0,,,
244,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Malawi,Both sexes,16,16.0,,,
245,Life expectancy at birth (years),Published,2012,Africa,Low-income,Niger,Female,59,59.0,,,
246,Life expectancy at birth (years),Published,1990,Africa,Low-income,Niger,Both sexes,43,43.0,,,
247,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Niger,Female,15,15.0,,,
248,Life expectancy at birth (years),Published,1990,Western Pacific,Low-income,Niue,Female,75,75.0,,,
249,Life expectancy at birth (years),Published,2000,Western Pacific,Low-income,Niue,Female,76,76.0,,,
250,Life expectancy at age 60 (years),Published,2012,Western Pacific,Low-income,Niue,Female,21,21.0,,,
251,Life expectancy at birth (years),Published,2000,South-East Asia,Low-income,Nepal,Male,61,61.0,,,
252,Life expectancy at age 60 (years),Published,1990,South-East Asia,Low-income,Nepal,Male,14,14.0,,,
253,Life expectancy at age 60 (years),Published,1990,South-East Asia,Low-income,Nepal,Female,16,16.0,,,
254,Life expectancy at birth (years),Published,2000,South-East Asia,Low-income,Democratic People's Republic of Korea,Male,60,60.0,,,
255,Life expectancy at birth (years),Published,1990,South-East Asia,Low-income,Democratic People's Republic of Korea,Both sexes,70,70.0,,,
256,Life expectancy at age 60 (years),Published,2000,South-East Asia,Low-income,Democratic People's Republic of Korea,Male,12,12.0,,,
257,Life expectancy at birth (years),Published,2012,Africa,Low-income,Rwanda,Female,66,66.0,,,
258,Life expectancy at birth (years),Published,1990,Africa,Low-income,Rwanda,Both sexes,48,48.0,,,
259,Life expectancy at birth (years),Published,2012,Africa,Low-income,Rwanda,Both sexes,65,65.0,,,
260,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Rwanda,Female,19,19.0,,,
261,Life expectancy at birth (years),Published,2000,Africa,Low-income,Senegal,Female,59,59.0,,,
262,Life expectancy at birth (years),Published,1990,Africa,Low-income,Senegal,Both sexes,57,57.0,,,
263,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Senegal,Female,16,16.0,,,
264,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Senegal,Female,17,17.0,,,
265,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Sierra Leone,Male,11,11.0,,,
266,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Low-income,Somalia,Male,49,49.0,,,
267,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Low-income,Somalia,Both sexes,50,50.0,,,
268,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Low-income,Somalia,Both sexes,15,15.0,,,
269,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Low-income,South Sudan,Both sexes,15,15.0,,,
270,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Low-income,South Sudan,Both sexes,16,16.0,,,
271,Life expectancy at birth (years),Published,2012,Africa,Low-income,Chad,Female,52,52.0,,,
272,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Chad,Female,15,15.0,,,
273,Life expectancy at birth (years),Published,2000,Africa,Low-income,Togo,Female,56,56.0,,,
274,Life expectancy at birth (years),Published,2012,Europe,Low-income,Tajikistan,Both sexes,68,68.0,,,
275,Life expectancy at age 60 (years),Published,1990,Europe,Low-income,Tajikistan,Male,17,17.0,,,
276,Life expectancy at age 60 (years),Published,2012,Europe,Low-income,Tajikistan,Male,17,17.0,,,
277,Life expectancy at age 60 (years),Published,2000,Europe,Low-income,Tajikistan,Both sexes,17,17.0,,,
